segment,mean,var,std,len_weighted,gaps_squared,n_peaks,smooth10_n_peaks,smooth20_n_peaks,var_div_duration,var_div_len,diff_peaks,diff2_peaks,diff_var,diff2_var,kurtosis,skew
77,-6.273053140331491e-06,2.1093718662050679e-10,1.4523676759708843e-05,181,180,11,1,1,1.1718732590028157e-12,1.1653988211077725e-12,31,44,5.328779836742249e-12,1.5160421130533637e-11,-1.3798790827668337,0.0179007956267788
78,-1.0495236432160806e-06,5.339947695131565e-10,2.310832684365436e-05,199,198,1,1,1,2.696943280369478e-12,2.6833908015736517e-12,41,55,3.913336729971621e-12,9.945435765051948e-12,-1.3874609017024164,-0.1041889661129474
79,1.781611322404373e-06,4.034177597538902e-10,2.008526225255449e-05,183,182,1,1,1,2.216581097548847e-12,2.204468632534919e-12,26,37,3.6082947542946738e-12,9.701650285892871e-12,-0.8338558517755952,-0.4487887167373275
83,6.311814000000077e-08,7.821093261316575e-10,2.796621758714713e-05,185,184,1,1,1,4.2505941637590084e-12,4.2276179790900415e-12,47,58,1.477979682258526e-12,1.4723699328012557e-12,-1.4898144084296108,-0.0164111850420139
84,2.7145980494382026e-06,7.429013812823033e-10,2.725621729591807e-05,178,177,1,1,1,4.197182945097758e-12,4.173603265630917e-12,43,56,1.427421743962808e-12,1.4108920922930565e-12,-1.4306010913298026,-0.0610239754201624
85,7.936907586206898e-06,5.965982205763822e-10,2.442536019338061e-05,174,173,1,1,1,3.4485446276091454e-12,3.428725405611392e-12,45,56,1.0256166462561637e-12,7.324357024993022e-13,-1.4700929404093162,-0.0325844290585811
88,-3.433459209876543e-06,2.1741008990639618e-10,1.474483265101358e-05,162,161,1,1,1,1.3503732292322745e-12,1.3420375920147914e-12,41,51,6.194370348541968e-13,8.185023715281874e-13,-1.3995810314278638,-0.0951258002999912
89,3.0945816270718224e-06,2.778229699351285e-10,1.6668022376248732e-05,181,180,1,1,1,1.5434609440840472e-12,1.5349335355531961e-12,58,63,7.235222004563904e-13,1.1707568306613525e-12,-1.50866547228592,-0.0133803783681097
92,-3.592388377906977e-06,2.79823589375466e-10,1.6727928424508098e-05,172,171,1,1,1,1.6363952595056489e-12,1.6268813335782905e-12,48,56,6.32703271027755e-13,7.471556964289924e-13,-1.471195927967888,0.0407507457859605
93,1.7363352054054051e-06,4.906889083525271e-10,2.2151499009153472e-05,185,184,1,1,1,2.6667875453941695e-12,2.652372477581228e-12,52,64,8.772932490443871e-13,9.471598148829386e-13,-1.4573953880218091,-0.0468666031016188
96,1.437770978378378e-06,9.426989031052215e-10,3.0703402142193e-05,185,184,1,1,1,5.123363603832727e-12,5.095669746514712e-12,46,63,1.3173679043932238e-12,6.08737514873977e-13,-1.4942722552801424,-0.0229708851640948
98,-5.298504725274738e-07,7.905372265744045e-10,2.8116493852797588e-05,182,181,1,1,1,4.36760898659892e-12,4.343611135024201e-12,51,64,1.1998542810252676e-12,7.806928749304099e-13,-1.4850829787355693,-0.0324248094894206
100,5.531299657303371e-06,4.2015404471798825e-10,2.0497659493658984e-05,178,177,1,1,1,2.3737516650733797e-12,2.360415981561732e-12,52,57,7.566201279780084e-13,6.878774364224371e-13,-1.4436734263109798,-0.0325044466133817
101,1.4944010170454544e-06,2.718116871940872e-10,1.6486712443482696e-05,176,175,1,1,1,1.5532096411090696e-12,1.5443845863300408e-12,50,57,7.106335581868916e-13,1.149226248322459e-12,-1.4919572667748202,-0.0152433013510625
102,1.5444158823529192e-08,2.3654979389362953e-10,1.538017535314957e-05,170,169,1,1,1,1.3997029224475121e-12,1.3914693758448797e-12,50,56,6.547871452329411e-13,9.636567911954909e-13,-1.5192484455591122,-0.0227404409111167
105,2.4936633905882363e-06,1.4784626466487359e-10,1.2159204935556996e-05,170,169,1,1,1,8.748299684312049e-13,8.696839097933743e-13,54,58,4.977309343060324e-13,9.294165552150837e-13,-1.2895263564033577,-0.1073631482139543
107,-5.142483426966294e-07,2.2768186545527467e-10,1.5089130705752224e-05,178,177,1,1,1,1.2863382229111562e-12,1.2791116036813185e-12,56,60,5.679105230513337e-13,8.188402323544929e-13,-1.4939471522519352,-0.0131832263241863
109,2.7725879550561803e-06,2.4019666628027256e-10,1.5498279461936173e-05,178,177,8,1,1,1.3570433123179245e-12,1.3494194734846776e-12,30,44,6.121295225264183e-12,1.7720287320060974e-11,-1.3626892964164463,-0.0222535607745982
111,-7.178251793478263e-07,5.542761809864477e-10,2.354307076373955e-05,184,183,1,1,1,3.028831590089879e-12,3.0123705488393904e-12,26,42,6.835457946125205e-12,1.851519071448359e-11,-1.4902804586425396,0.0325055706981565
113,-2.9480549617486337e-06,6.954670548444273e-10,2.6371709365235072e-05,183,182,1,1,1,3.8212475540902586e-12,3.800366419914903e-12,30,36,2.768676594840002e-12,5.819877153271209e-12,-1.497065087826975,0.0311215645095931
116,6.070373187845303e-06,7.855700485497806e-10,2.802802255867832e-05,181,180,1,1,1,4.364278047498781e-12,4.340166014087186e-12,43,56,1.1905763739299693e-12,7.105954690152855e-13,-1.5064694057741888,-0.0311183291688051
117,-1.46027224852071e-06,6.395613600594785e-10,2.5289550412363573e-05,169,168,1,1,1,3.806912857496896e-12,3.784386745914075e-12,48,51,1.198986310968835e-12,1.0070893406039982e-12,-1.477610249264654,-0.0345059873626682
118,-3.254902657303371e-06,6.183474954419583e-10,2.4866593965438017e-05,178,177,1,1,1,3.4934886748133245e-12,3.473862333943587e-12,54,60,1.0289784959613222e-12,7.735265280480834e-13,-1.484768758297597,-0.0189562081915686
122,-9.255720852272724e-07,2.581884844387609e-10,1.6068244597303118e-05,176,175,1,1,1,1.4753627682214908e-12,1.4669800252202325e-12,54,59,6.012835730111704e-13,8.415360837910738e-13,-1.4676663734827202,-0.0085579091497641
123,-1.7774205027027027e-06,2.8010692212227673e-10,1.6736395135221825e-05,185,184,1,1,1,1.522320228925417e-12,1.5140914709312257e-12,56,60,5.546739853157392e-13,6.337277621886063e-13,-1.4983242979589435,0.0133804083158065
124,3.862645152542373e-06,3.4628444299675304e-10,1.8608719542105876e-05,177,176,1,1,1,1.967525244299733e-12,1.956409282467532e-12,53,63,6.930182033110659e-13,7.944374062067297e-13,-1.4776581213307702,-0.0401971481031012
128,-1.787396867724868e-06,9.552887372362426e-10,3.090774558644229e-05,189,188,1,1,1,5.081323070405547e-12,5.054437763154724e-12,54,63,1.3363103545671772e-12,8.301171559844913e-13,-1.498484037764069,0.0116839869013488
130,8.497664262295082e-06,7.297155659200724e-10,2.701324797058052e-05,183,182,1,1,1,4.009426186374025e-12,3.987516753661598e-12,47,59,1.1153178833197377e-12,7.465269972040043e-13,-1.4730382419644317,-0.0531778674429865
133,-2.679946854594594e-06,2.6902261510643476e-10,1.6401908886054537e-05,185,184,1,1,1,1.4620794299262762e-12,1.4541762978726206e-12,53,63,6.315581173775428e-13,9.139533813915389e-13,-1.4514986195572848,-0.0281121033379274
135,2.2546554545454547e-06,1.3221829161478352e-10,1.1498621291910762e-05,176,175,1,1,1,7.555330949416201e-13,7.512402932658154e-13,55,56,4.691559265042268e-13,8.32442738129494e-13,-1.468346690467857,-0.0469621844186943
137,1.730631210928962e-06,1.6294646171912082e-10,1.2765048441706786e-05,183,182,1,1,1,8.953102292259386e-13,8.904178236017533e-13,51,58,4.669670317352995e-13,7.317833747166514e-13,-1.486411880067798,0.0131717210670932
138,1.7198987842105263e-06,3.752356580922959e-10,1.9371000441182584e-05,190,189,1,1,1,1.98537385234019e-12,1.9749245162752414e-12,57,67,6.622959345584009e-13,7.522868851461215e-13,-1.495990145617166,-0.0308050569182987
140,2.3475870158730163e-06,6.817550368199745e-10,2.611043923069803e-05,189,188,1,1,1,3.6263565788296523e-12,3.607169506983993e-12,50,66,1.0005719994736748e-12,7.922688051383694e-13,-1.389598825230904,-0.1031564151034949
144,7.768148739130436e-06,7.219219050707172e-10,2.6868604449630747e-05,207,206,1,1,1,3.5044752673335787e-12,3.4875454351242373e-12,53,67,9.391332787495384e-13,8.671450061262046e-13,-1.4117759282924864,-0.1126041011278292
145,6.163727824413145e-06,5.406971020033051e-10,2.325289448656457e-05,213,212,1,1,1,2.550458028317477e-12,2.5384840469638738e-12,55,71,6.586540202517837e-13,7.171191124427443e-13,-1.1013740765917042,-0.34532683784316
149,1.5210467681372549e-06,1.2780850266076102e-10,1.1305242264576246e-05,204,203,1,1,1,6.29598535274685e-13,6.265122679449071e-13,58,66,4.0172850337526973e-13,7.71811408149356e-13,-1.472738422659563,-0.0618977404070774
152,-2.8827177390625e-06,1.0048276671519308e-10,1.0024109272907648e-05,192,191,1,1,1,5.260877838491786e-13,5.233477433082974e-13,56,63,3.628328619550296e-13,7.520203082007499e-13,-1.2498167037314607,-0.1570674954471162
153,-1.781899090909097e-07,3.2306511167793756e-10,1.7974012119667037e-05,220,219,1,1,1,1.475183158346747e-12,1.4684777803542617e-12,64,72,5.752136210578944e-13,8.971635648849389e-13,-1.472423262965432,0.0372601848115595
154,3.07853767804878e-06,3.558216679876522e-10,1.886323588326383e-05,205,204,1,1,1,1.7442238626845697e-12,1.7357154535983033e-12,65,69,6.30648344627036e-13,9.44976629907646e-13,-1.381150540821647,-0.1238730113175909
156,4.406177587939705e-07,7.194354450084974e-10,2.682229380587159e-05,199,198,1,1,1,3.633512348527765e-12,3.615253492505013e-12,52,74,1.0829901983728074e-12,1.1130446102822105e-12,-1.4440643173689034,-0.0460616337276411
157,-3.8975903917050695e-06,7.793099452656105e-10,2.791612339250582e-05,217,216,1,1,1,3.607916413266716e-12,3.591290070348436e-12,66,73,1.0935445317644569e-12,1.2156780130940786e-12,-1.4952048260924922,0.0182986683434696
158,-7.279649669902911e-06,5.2130737111929e-10,2.2832156514864956e-05,206,205,1,1,1,2.5429627859477567e-12,2.5306183064043205e-12,56,65,8.320981484636078e-13,9.900839158442413e-13,-1.4054538536145942,-0.0540107957675127
159,3.8069060470085474e-06,8.763908379121282e-10,2.960389903225804e-05,234,233,1,1,1,3.761334068292396e-12,3.745259991077472e-12,63,74,1.0726205750316916e-12,1.142500742304392e-12,-1.4340995665339882,-0.0715958190065987
161,7.597927864978903e-06,6.122274204437358e-10,2.474322979006047e-05,237,236,1,1,1,2.5941839849310844e-12,2.5832380609440336e-12,74,81,6.455087343672056e-13,8.692005276339149e-13,-0.899726720541453,-0.4660022738690266
164,-2.9906392869198306e-06,3.1476653684874155e-10,1.7741661051004824e-05,237,236,1,1,1,1.333756512070939e-12,1.3281288474630448e-12,67,76,5.392907317368543e-13,8.423955435268399e-13,-1.4580653156951324,0.004047994313287
168,-7.387198448430493e-06,7.343261582869615e-10,2.709845306077381e-05,223,222,1,1,1,3.3077754877791065e-12,3.2929424138428773e-12,57,75,9.813063849373225e-13,1.049372963178986e-12,-1.474828414686742,-0.0003539082299746
169,-3.578292388679245e-06,9.166051643131991e-10,3.027548784599844e-05,265,264,1,1,1,3.471989258762118e-12,3.4588874125026384e-12,79,90,9.442408807281893e-13,1.200791579432733e-12,-1.504733324016941,0.0274887193238036
171,5.127767999999999e-06,4.849830632923755e-10,2.2022331014049704e-05,313,312,1,1,1,1.5544328951678699e-12,1.5494666558861837e-12,98,105,4.459515359457431e-13,8.014538288796714e-13,-1.3553814667095845,-0.0864288413145342
172,-3.4845312088627445e-06,1.7525812639142322e-10,1.323850922088372e-05,255,254,1,1,1,6.899926235882805e-13,6.872867701624443e-13,80,86,2.9998411059476733e-13,7.726466666449263e-13,-0.5598356107346052,-0.9846450845881158
173,6.450108189655173e-06,1.4446052885709103e-10,1.2019173384933384e-05,290,289,1,1,1,4.99863421650834e-13,4.981397546796244e-13,86,92,3.5335891092920295e-13,8.701874217827662e-13,-0.6482444627710864,-0.6914390510597769
175,5.858064340839695e-06,8.687656095722944e-11,9.320759677045076e-06,262,261,1,1,1,3.328603868093082e-13,3.315899273176696e-13,90,92,3.090379404355029e-13,7.556492171155742e-13,-1.4744492997948284,-0.0119767111225826
177,-1.0323486412587417e-06,4.4691333411829276e-10,2.1140324834739244e-05,286,285,1,1,1,1.5681169618185712e-12,1.5626340353786461e-12,91,100,5.081391789614496e-13,9.083472135161433e-13,-1.441201515794101,0.0297378503368945
178,-1.0241679411067191e-05,2.7050208669530044e-10,1.6446947640680944e-05,253,252,1,1,1,1.073420978949605e-12,1.06917820828182e-12,75,90,4.824718621302999e-13,9.407023030110262e-13,-1.458085778653079,-0.0475477001232453
180,-6.265987289808918e-06,6.566076227491925e-10,2.5624356045551515e-05,314,313,1,1,1,2.0977879321060466e-12,2.0911070788190843e-12,87,105,5.44108853077956e-13,8.395420535494058e-13,-1.5111726451667071,0.0423899300871552
181,-2.206591628985507e-05,2.5878766076117787e-10,1.6086878527581972e-05,276,275,1,1,1,9.41046039131556e-13,9.376364520332534e-13,87,93,4.262516150652972e-13,8.867528233503712e-13,-1.4863839637580174,0.0314823057343434
183,1.6483633196319018e-05,5.10413549173475e-10,2.259233385849003e-05,326,325,1,1,1,1.570503228226077e-12,1.5656857336609665e-12,89,101,4.10277038121123e-13,8.955850294504753e-13,-0.5887700711331796,-0.803056437831646
185,6.43280142857143e-06,1.810106665663588e-10,1.345402046105025e-05,329,328,1,1,1,5.518617883120694e-13,5.501843968582333e-13,91,105,2.7237375898865584e-13,6.066451516254314e-13,-0.6693012066905544,-0.5799301018865818
186,1.2264492864077668e-05,4.00193314768621e-10,2.000483228544096e-05,309,308,1,1,1,1.2993289440539645e-12,1.295123996014955e-12,89,105,4.231169663347885e-13,7.711882641833487e-13,-0.9893204216410902,-0.3639221840895109
187,7.711808558064515e-06,5.852471200081189e-10,2.419188128294529e-05,310,309,1,1,1,1.894003624621744e-12,1.887893935510061e-12,86,103,5.208496801227832e-13,7.327327100234495e-13,-1.488193913409654,-0.073212956617457
196,3.865033665116278e-06,8.044136695012788e-10,2.836218731870444e-05,387,386,1,1,1,2.0839732370499454e-12,2.0785882932849584e-12,123,132,4.812199761055778e-13,7.857985989041365e-13,-1.4347893965041068,0.0136373835510623
199,1.2137942963800925e-06,6.507066881385252e-10,2.550895309765819e-05,442,441,1,1,1,1.4755253699286288e-12,1.4721870772364829e-12,137,152,3.172895337972982e-13,6.566294588547886e-13,-1.1175481762292698,-0.3655591565358119
200,7.195646134976526e-06,2.740600593263693e-10,1.655475941614282e-05,426,425,1,1,1,6.448471984149867e-13,6.433334725971109e-13,132,142,3.0953365757988093e-13,7.582793706191015e-13,-1.5082766435689812,0.1080302129369434
203,3.7094338687664022e-06,4.764353387261347e-10,2.182739880806081e-05,381,380,1,1,1,1.2537772071740386e-12,1.2504864533494349e-12,111,118,3.7658546724251243e-13,7.420733187492433e-13,-1.261445429960568,-0.1952858670124467
208,2.802405646608315e-06,2.415806573034458e-10,1.5542865157474854e-05,457,456,1,1,1,5.29782143209311e-13,5.286228825020696e-13,134,149,2.9268661142252773e-13,7.168999309547485e-13,-1.3319764533110423,-0.1874447876181039
210,9.97950330765808e-06,5.119773900325633e-10,2.262691737803812e-05,427,426,1,1,1,1.2018248592313692e-12,1.1990102811067056e-12,129,145,3.5849029793067294e-13,7.51943708838455e-13,-1.3276585842539963,-0.165896501662277
211,-1.7146484240282687e-05,3.5450215982831485e-11,5.954008396268138e-06,283,282,1,1,1,1.257099857547216e-13,1.252657808580618e-13,89,101,2.760567343400282e-13,7.935113801161282e-13,-0.6609700824723754,-0.8690961354483692
213,1.6091926896629212e-05,6.127863896194258e-10,2.475452260940263e-05,445,444,1,1,1,1.3801495261698782e-12,1.3770480665605078e-12,136,147,3.7564557837939125e-13,8.149785373562236e-13,-0.4079492594322289,-0.7743515936701686
215,1.8665750265432089e-06,2.6367844945956324e-10,1.6238178760549572e-05,486,485,1,1,1,5.436669061021922e-13,5.425482499167968e-13,143,154,3.047002513102544e-13,7.965191664860903e-13,-0.8110008888106943,-0.5788830432762104
216,4.963643330270269e-06,1.4585835383448943e-10,1.2077183191228386e-05,370,369,1,1,1,3.952800916923834e-13,3.942117671202418e-13,116,124,2.5613066167259343e-13,6.385856507564633e-13,-1.351203041077904,-0.0835901704726101
217,-7.953226887005652e-06,9.358227231315778e-11,9.67379306751792e-06,354,353,1,1,1,2.651055872893988e-13,2.6435670144959824e-13,115,116,2.885577810277509e-13,7.814318132326915e-13,-1.145400587520538,-0.2395255286442159
219,0.3608528227272727,0.1763189048629917,0.4199034470720522,220,1093,1,1,1,0.0008200879295953,0.0040072478377952,3,6,0.0058825465705772,0.0021332786692342,-1.1431892127341254,0.6792455325622585
220,0.3112935942307692,0.1912140687043528,0.4372803090745716,260,1262,1,1,1,0.0007648562748174,0.0036771936289298,5,11,0.0059475228494431,0.0012736127415499,-0.4778971165880192,1.0581193615064777
222,0.3346076369565217,0.2152083854073153,0.4639055781161887,230,1147,1,1,1,0.0009480545612657,0.0046784431610285,2,8,0.0083020456995924,0.001421954744534,-0.4392186993768341,1.0520200455336757
223,0.3892984931578947,0.205786343138804,0.4536367965000238,190,936,1,1,1,0.0011063781889183,0.0054154300826001,2,10,0.0085984312924364,0.0015755016776703,-1.137544296678708,0.6900828737916546
225,0.4038187609302325,0.2435264740369158,0.493484015989288,215,1050,1,1,1,0.0011596498763662,0.0056634063729515,3,10,0.0089847843624495,0.0014042419514371,-0.7975440295037033,0.8648557653835615
227,0.4639485127659574,0.2396075155305969,0.4894972068670024,235,1150,1,1,1,0.0010417718066547,0.0050980322453318,2,10,0.0067940922534357,0.0013362583340485,-0.9958764331165816,0.7228087380918319
230,0.4083336351851851,0.1711518549789652,0.4137050337848999,270,1325,1,1,1,0.0006458560565243,0.0031694787959067,4,10,0.0040143007342738,0.0013653422310492,-0.9475500890769504,0.7902195809334135
231,0.4659003309090909,0.2303085219903421,0.4799047009462839,220,1102,1,1,1,0.0010662431573626,0.0052342845906895,3,11,0.0066947484847007,0.00119760082567,-1.1125737256990067,0.6391023247339261
232,0.3414036744067796,0.2177745215083967,0.4666631777935738,295,1474,1,1,1,0.0007458031558506,0.003691093584888,1,10,0.0059139308150739,0.0011156296748551,-0.1655150985577216,1.1706982952525882
233,0.3301816342553191,0.1756119009145538,0.4190607365460928,235,1172,1,1,1,0.0007569478487696,0.0037364234237139,2,7,0.0055830135973264,0.0012577909925762,-0.8688395739628665,0.8571443185244781
234,0.4446756141463414,0.2724801190153342,0.5219962825685008,205,1034,1,1,1,0.0013489114802739,0.0066458565613496,4,8,0.0107389616023582,0.003529598534184,-0.9183338043663212,0.7681382951198449
236,0.3203752488888889,0.1651295819138455,0.4063613932374058,225,1111,1,1,1,0.0007471926783431,0.0036695462647521,4,9,0.0056421610805163,0.0012418835314604,-0.9329654086726608,0.8334046413384864
237,0.3455333142857142,0.1986541328600134,0.445706330289366,245,1211,1,1,1,0.0008242910077178,0.0040541659767349,3,11,0.0058405086836316,0.0010357188372442,-0.8888899229112983,0.8604742701613701
240,2.0530559121212123e-05,3.552744226912832e-10,1.8848724696681293e-05,462,461,1,1,1,7.706603529095081e-13,7.689922569075395e-13,133,143,2.599811213871919e-13,6.545411734752016e-13,-0.880081455640263,-0.6115667845314539
242,-1.4712703769435736e-05,2.2924993112189871e-10,1.5141001655171256e-05,638,637,1,1,1,3.598900017612225e-13,3.593259108493711e-13,181,194,2.47670397680334e-13,6.344947003924306e-13,-1.335074532060212,0.1736058846198943
