segment,mean,var,std,len_weighted,gaps_squared,n_peaks,smooth10_n_peaks,smooth20_n_peaks,var_div_duration,var_div_len,diff_peaks,diff2_peaks,diff_var,diff2_var,kurtosis,skew
29,2.5735809424778764e-06,3.991598831456679e-10,1.997898603897775e-05,226,225,4,2,1,1.7740439250918573e-12,1.76619417321092e-12,13,27,6.237984693873817e-12,1.373772180159846e-11,-1.2579965834416331,-0.1848671680237747
51,3.2513048792270545e-06,8.375966271520161e-10,2.894126167173809e-05,207,206,1,1,1,4.066003044427263e-12,4.0463605176425896e-12,18,26,5.002593956460421e-12,1.024830473634244e-11,-1.3118048273573302,-0.0988221558243367
52,-1.8754152574850304e-06,5.697570098170464e-10,2.3869583360776248e-05,167,166,1,1,1,3.432271143476183e-12,3.4117186216589605e-12,33,43,2.505382759431736e-12,5.010278248138061e-12,-1.2205775116636852,-0.2947699527317904
57,3.63203292670157e-06,3.9690255818675715e-10,1.9922413462900453e-05,191,190,2,1,1,2.08896083256188e-12,2.078023864852132e-12,16,29,4.264999474465775e-12,8.612306281625527e-12,-1.2363885717823313,-0.2132621806319292
59,2.892919692307692e-06,2.1281915687004408e-10,1.45883226201659e-05,195,194,2,2,1,1.0970059632476498e-12,1.0913802916412518e-12,4,15,3.111372416656651e-12,6.166965234303396e-12,-1.3743775799641456,-0.069716947064986
60,2.5781327461139894e-06,2.545791623726749e-10,1.5955537044320224e-05,193,192,1,1,1,1.325933137357682e-12,1.3190630174749996e-12,27,26,1.3298934947435105e-12,2.4942697544929287e-12,-1.510190329450101,-0.0282323702724008
62,-4.602417971098265e-06,1.8269593844508818e-10,1.3516506147858188e-05,173,172,2,2,1,1.0621856886342337e-12,1.0560458869658277e-12,1,5,4.238231915108686e-12,6.898922805017506e-12,-1.2990520296010797,-0.1025238130996888
71,2.893392010382513e-06,1.7731739285995887e-10,1.3316057707142864e-05,183,182,1,1,1,9.742713893404333e-13,9.689475019669884e-13,44,52,5.436368282674422e-13,9.315069785279786e-13,-1.1040904271965803,-0.2735371710611026
74,5.308426963350783e-07,2.1922667955327403e-10,1.4806305398487297e-05,191,190,1,1,1,1.153824629227758e-12,1.1477836625825865e-12,13,16,2.330147984264057e-12,3.773585642967591e-12,-1.2258996184457776,0.1034148049537675
80,6.674827876404496e-07,5.137744458321065e-10,2.266659316774593e-05,178,177,2,1,1,2.902680484927156e-12,2.8863732911916096e-12,2,2,6.962235263410451e-11,2.020517843314645e-10,0.4634700531724163,-0.8369032610276442
82,-7.583311739759037e-06,4.3068742204816514e-10,2.075300995152668e-05,166,165,2,1,1,2.6102268002919104e-12,2.5945025424588264e-12,9,26,4.210050502464988e-12,9.279822016730595e-12,-1.4463011708546298,0.0201990359882362
90,4.10232853631285e-06,2.429536738482512e-10,1.5586971285283464e-05,179,178,1,1,1,1.364908280046355e-12,1.3572830941243085e-12,32,34,8.78514743172998e-13,1.5524453321279176e-12,-1.4390862605150303,-0.1161229677640195
95,4.147243346368715e-06,6.28026548113771e-10,2.5060457859220597e-05,179,178,1,1,1,3.528239034347029e-12,3.508528201752912e-12,1,2,1.0047557932407453e-11,1.9378686908980858e-11,-0.8749599126935235,-0.2064508289548608
97,-7.196355608187134e-06,6.804697576918915e-10,2.6085815258333243e-05,171,170,2,1,1,4.002763280540538e-12,3.9793553081397156e-12,1,2,5.4709485894941185e-11,1.6092712328626835e-10,-1.3265286513853711,0.1016824882778344
99,-6.080523601123596e-06,2.9846780421774486e-10,1.7276220773587747e-05,178,177,1,1,1,1.686258780891214e-12,1.676785416953623e-12,1,1,6.760747639954245e-12,1.3071690773946318e-11,-0.3642965800776485,0.0054435665612418
106,4.434545005617978e-06,1.9120541510090828e-10,1.3827704621552642e-05,178,177,2,2,1,1.0802565824910073e-12,1.0741877252860017e-12,1,2,4.330064134269116e-11,1.2931585249754594e-10,0.3660157247453517,0.0650394441445405
121,2.2454212282608697e-06,2.349690394745728e-10,1.5328699862498866e-05,184,183,3,2,1,1.283983822265425e-12,1.2770056493183304e-12,3,6,6.513045969471966e-12,1.2826976891600122e-11,-1.0406986180660247,0.2775466582003152
125,7.562725064161849e-06,4.6297949509214204e-10,2.1516958314133115e-05,173,172,1,1,1,2.69174125053571e-12,2.676182052555735e-12,2,2,6.55581411750908e-12,1.2300614369268376e-11,-1.4248329702693008,-0.0865799000409812
126,5.918951968085106e-06,5.278737627488753e-10,2.297550353635096e-05,188,187,1,1,1,2.8228543462506697e-12,2.807839163557848e-12,15,23,1.3338099666014122e-12,1.6164980112962534e-12,-0.7192408572686344,-0.3122210302439409
127,-7.725837017647058e-06,6.265967225050615e-10,2.5031914079931275e-05,170,169,2,2,2,3.707672914231134e-12,3.685863073559186e-12,2,2,5.92627457251049e-11,1.6650113383188122e-10,-1.3946256926742733,0.0412112620378664
129,-3.199592545945946e-06,5.704154650107844e-10,2.388337214487905e-05,185,184,2,2,2,3.100084048971655e-12,3.0833268378961324e-12,1,2,1.6594510109712626e-11,3.2602290545641697e-11,-0.91979361008989,-0.0044808091943833
134,-1.858890735195531e-06,1.897119955069628e-10,1.377359776917283e-05,179,178,2,2,2,1.0657977275672066e-12,1.0598435503182277e-12,1,1,3.4929054383756886e-11,6.974969863866063e-11,-0.1270711579261507,-0.3417235842882896
136,2.9166292857142864e-06,1.4835877912788038e-10,1.2180261866145588e-05,189,188,1,1,1,7.891424421695766e-13,7.849670853327005e-13,40,47,4.71449596387371e-13,7.311259956967983e-13,-1.5048907687574025,-0.0154254847205833
139,7.0993456620512825e-06,5.15831965425035e-10,2.271193442719125e-05,195,194,2,1,1,2.6589276568300777e-12,2.645292130384796e-12,1,2,5.5801963398854994e-11,1.6470647832844474e-10,-1.2966215800059686,-0.0700483202711926
141,-5.285984036507937e-06,7.147917828834586e-10,2.673559019141823e-05,189,188,3,3,1,3.802083951507759e-12,3.781967105203485e-12,2,5,2.3485162729222453e-11,4.599140120905013e-11,-1.2108317971295934,0.0067994398559526
143,-3.76249284e-06,4.2272862189392705e-10,2.0560365315186572e-05,200,199,1,1,1,2.1242644316277744e-12,2.113643109469636e-12,1,1,9.94107949851559e-12,1.927378860534124e-11,0.0211439257265477,-0.4343601175481853
146,1.9226841573604054e-07,1.8928624708554163e-10,1.3758133851854387e-05,197,196,2,2,1,9.657461585997025e-13,9.608438938352368e-13,1,5,5.769793537903537e-12,1.1371263262769944e-11,-0.6539800984488155,-0.4800756927215989
150,2.265338898617511e-06,1.3622748220699782e-10,1.1671652933796388e-05,217,216,2,1,1,6.306827879953603e-13,6.277764157004509e-13,26,51,6.692201249068052e-13,1.3332062639864765e-12,-1.4890603769227575,0.0019479593487525
151,3.164178822169812e-06,1.1582833516843627e-10,1.0762357323952604e-05,212,211,2,1,1,5.489494557745794e-13,5.463600715492277e-13,2,18,1.826376296937111e-12,3.60756381441748e-12,-1.3783019472212494,-0.0445365880453412
160,6.156609288888878e-07,5.51405733151937e-10,2.3482030004919444e-05,225,224,2,1,1,2.4616327372854333e-12,2.4506921473419423e-12,2,7,2.8720934925361855e-12,5.390838524882769e-12,-0.802509489673739,-0.5833269879792162
162,3.045158715953307e-06,6.31668522281188e-10,2.513301657742636e-05,257,256,1,1,1,2.467455165160891e-12,2.457854172300343e-12,1,5,2.518005440993241e-12,4.7928148830772345e-12,-1.2361360700664434,-0.0865607206049422
163,-5.804209585714285e-06,2.2828397914368475e-10,1.510906943341266e-05,210,209,2,2,2,1.09226784279275e-12,1.0870665673508797e-12,2,2,3.410170924427095e-11,9.96863594773635e-11,-1.0094025089171297,-0.2659266425775475
165,2.2651312456896558e-06,4.6113194738637214e-10,2.147398303497449e-05,232,231,2,2,1,1.9962421964778016e-12,1.9876377042516042e-12,1,7,3.414993229582004e-12,6.315722288721196e-12,-1.368997063096835,0.0094168414015433
166,6.452190948275862e-06,5.687374639473726e-10,2.384821720689772e-05,232,231,1,1,1,2.4620669434951188e-12,2.4514545859800547e-12,5,12,1.7728343702261138e-12,3.0315992800161627e-12,-1.468352043505801,-0.0362892735979425
170,-9.529907714932126e-06,2.847326737856142e-10,1.6874023639476574e-05,221,220,3,2,1,1.2942394262982469e-12,1.288383139301422e-12,3,16,2.825806897474057e-12,5.715622258434287e-12,-0.7054197609054382,-0.6717362687782633
174,3.0582612019202896e-06,1.2270443886641848e-10,1.1077203567074971e-05,276,275,2,2,1,4.46197959514249e-13,4.445813002406467e-13,4,19,1.167915010104813e-12,2.394958964827787e-12,-1.1484231967124183,-0.2313200103446751
176,-2.9451357191633474e-06,1.2677944047642415e-10,1.1259637670743416e-05,251,250,1,1,1,5.071177619056968e-13,5.050973724160326e-13,47,60,3.987809242825326e-13,8.807271221918807e-13,-0.5860973573117447,-0.582709335246371
179,-5.743108445955883e-06,5.41615778053019e-10,2.3272640117808277e-05,272,271,2,2,2,1.998582206837709e-12,1.9912344781360997e-12,1,3,2.153502274057323e-11,5.695634608330962e-11,-1.154320703575232,0.1881230608846961
188,7.2115288273615645e-06,4.2813963864418463e-10,2.0691535434669525e-05,307,306,1,1,1,1.3991491458960285e-12,1.3945916568214485e-12,2,1,1.8698047814132475e-12,3.6885134263616e-12,-1.109411690212349,-0.2124769989012457
191,-5.346578342181819e-06,8.961308728395816e-11,9.46641892607538e-06,275,274,1,1,0,3.270550630801393e-13,3.2586577194166613e-13,69,80,2.899482711169029e-13,7.731650736658986e-13,-0.842751943833298,-0.8455014703426457
192,-1.3641331194444445e-06,2.1907181786110482e-10,1.4801074888706726e-05,360,359,2,1,1,6.102279049055845e-13,6.085328273919579e-13,32,55,5.907294644040084e-13,1.2991242577090481e-12,-1.426620461205589,-0.0303968619978541
193,-2.131730232044199e-06,1.7953251780808559e-10,1.3398974505837589e-05,362,361,2,2,2,4.97319993928215e-13,4.959461817902919e-13,3,6,2.758649891376353e-12,5.791622342779594e-12,-1.2788943826388497,0.0843739144712085
194,-2.522479438670695e-06,1.1317326368979183e-10,1.0638292329588984e-05,331,330,1,1,1,3.429492839084601e-13,3.419131833528454e-13,2,2,2.122322875672187e-12,4.470099080759077e-12,-0.9351172021378428,-0.4471626870008666
195,5.07453661237785e-06,1.7746441813181524e-10,1.3321577163827683e-05,307,306,1,1,1,5.799490788621415e-13,5.780599939147078e-13,2,2,1.5722030463390354e-11,4.201539843437158e-11,1.2731496252625174,1.4718480086714258
197,-7.372667083333335e-07,4.118371139250703e-10,2.0293770323059003e-05,360,359,2,2,1,1.14717859032053e-12,1.1439919831251952e-12,1,3,1.1158628515878956e-11,3.1153748620265126e-11,-0.5857540253033928,-0.8021793183165029
201,-5.399599475806451e-06,5.598374411792185e-11,7.482228552906003e-06,372,371,1,1,1,1.5089957983267348e-13,1.504939358008652e-13,64,81,3.967502534542017e-13,9.71900408956819e-13,-1.5106559654891054,-0.1216109051076716
202,7.4849615947802196e-06,2.8343254635136816e-10,1.683545503844099e-05,364,363,3,2,2,7.808059128136865e-13,7.786608416246378e-13,3,16,2.284553376819741e-12,4.779038674451918e-12,-1.4645320966901652,0.0175520294267232
205,1.1993602360655738e-05,2.976570060266713e-10,1.7252739087654207e-05,366,365,1,1,1,8.154986466484144e-13,8.132705082695937e-13,105,123,2.761303928297889e-13,6.482730524428124e-13,-0.791996159067506,-0.747134493613411
207,-1.7437637487113397e-06,1.9207660675232272e-10,1.3859170492937978e-05,388,387,1,1,1,4.963219812721517e-13,4.950428009080483e-13,31,36,5.622952658732363e-13,1.2374812005937192e-12,-1.2551677674172048,-0.2006331689135973
212,-3.2345738512755098e-06,1.9776540497410636e-10,1.4062908837580736e-05,392,391,1,2,2,5.057938746140827e-13,5.045035841176183e-13,2,3,1.0906849047416252e-11,3.126487378288847e-11,-0.7957637475531518,-0.8117325925619459
214,-1.3118091725000005e-06,5.873722615325412e-10,2.423576410044753e-05,400,399,2,2,2,1.4721109311592517e-12,1.4684306538313534e-12,2,3,2.941218596663443e-11,8.571269151390089e-11,-1.3220762758443247,-0.0521393501344321
238,3.35508804477612e-06,3.4188839066800047e-10,1.849022419193452e-05,536,535,6,5,3,6.390437208747672e-13,6.378514751268665e-13,8,13,3.202793375702908e-11,7.243442056393251e-11,-0.6667261958505706,-0.4583999339906204
241,4.915656410820895e-06,6.478290416898054e-10,2.5452485962864323e-05,536,535,2,2,2,1.2108954050276736e-12,1.2086362718093385e-12,2,2,1.2962403033328478e-11,3.661370775744458e-11,-1.1437299666218226,-0.0780857575966464
244,1.4931851469962168e-05,1.6008012875339383e-10,1.2652277611299629e-05,793,792,2,2,2,2.021213746886286e-13,2.01866492753334e-13,54,146,3.5268270812454805e-13,9.096163604678225e-13,-1.41797791141978,-0.2397532075636403
246,-8.350868078544063e-06,3.7574951503722657e-10,1.938425946579406e-05,522,521,2,2,1,7.212082822211643e-13,7.19826657159438e-13,2,4,6.4925346260344615e-12,1.312791762642635e-11,-1.3818016718146815,0.0730974859952828
247,-1.736462774183515e-05,1.2467229166461112e-10,1.1165674707092763e-05,643,642,12,1,1,1.9419360072369333e-13,1.9389158890297218e-13,72,100,2.4062796960406216e-12,6.062557858701941e-12,-0.9460466355418689,-0.4723292756804695
248,6.546988954975766e-06,3.5330655776946997e-10,1.879645066946071e-05,619,618,4,2,2,5.716934591738996e-13,5.70769883310937e-13,19,40,5.497335181695067e-12,1.2205853402912987e-11,-1.140642542992618,-0.4412526060802827
249,2.1150898966987177e-05,2.64451432830065e-10,1.62619627606899e-05,624,623,4,3,3,4.244806305458508e-13,4.238003731251042e-13,4,7,1.552543646932856e-11,4.085163479439616e-11,-1.1015301780437343,-0.1827180447938876
250,5.8921637563894525e-06,4.253920615684151e-10,2.062503482587157e-05,493,492,2,2,2,8.64618011317917e-13,8.628642222483067e-13,13,23,6.28662909196125e-12,1.2809247400003684e-11,-0.6444999253611763,0.1801441865242661
253,2.4247871342412445e-06,1.5627987557554582e-10,1.2501194965904093e-05,514,513,4,2,2,3.046391336755279e-13,3.0404645053608137e-13,42,60,2.4985222007595123e-12,6.632008414694614e-12,-0.4260448385519524,-0.5659218445023012
263,-1.1451238251552795e-05,2.0297086362992622e-10,1.4246784325942688e-05,483,482,12,2,1,4.211013768255731e-13,4.2022953132489897e-13,48,81,4.201558212877509e-12,1.0501982295311424e-11,-1.2390920610011091,-0.2168735105701833
264,-3.349303167796609e-06,1.381390864756979e-10,1.1753258547130576e-05,472,471,5,4,2,2.932889309462801e-13,2.9266755609258033e-13,13,33,2.1647660138700357e-12,4.6700930012770906e-12,-1.11745986463876,-0.3655351928447585
269,-7.375646509772726e-06,1.104330446796475e-10,1.0508712798418627e-05,440,439,2,2,2,2.5155591043199884e-13,2.509841924537443e-13,1,4,2.9116720372524935e-12,5.926026285943069e-12,-1.3624941972923057,-0.1752895650172443
272,1.215984125e-05,3.4849514472647264e-10,1.8668024660538475e-05,462,461,2,2,1,7.559547607949515e-13,7.543184950789451e-13,1,2,4.483074340050069e-11,1.3385100578170428e-10,-0.600378064555855,0.2733122442101903
280,-1.447786809374999e-06,3.8431895640312256e-10,1.9604054590903447e-05,416,415,1,1,1,9.260697744653555e-13,9.23843645199814e-13,5,3,1.5498688488342998e-12,3.229306547479851e-12,-1.2635866936959697,0.1967479595936789
282,-4.01535671822542e-06,1.0667798605326795e-10,1.0328503572796396e-05,417,416,2,2,1,2.564374664742018e-13,2.5582250852102624e-13,34,66,5.601049214338437e-13,1.2550640598661324e-12,-1.3603096927900593,0.0853503443228762
283,-1.2997764143235903e-06,1.0257918369536444e-10,1.012813821466534e-05,479,478,2,2,2,2.1460080270996745e-13,2.141527843327024e-13,2,3,5.702212266111727e-12,1.551912383060802e-11,-0.8983877456357119,-0.2663212781306946
284,4.584135606444444e-06,2.2982560926907478e-10,1.5160000305708267e-05,450,449,2,2,1,5.118610451427055e-13,5.107235761534994e-13,39,70,1.7171059641915452e-12,4.476209553190461e-12,-1.4114754258587183,-0.0032655867998753
286,4.547663381995135e-06,5.194300031535355e-10,2.2791007067559248e-05,411,410,3,2,2,1.2669024467159409e-12,1.2638199590110357e-12,2,5,5.997632983890291e-12,1.1986270415168944e-11,-1.4030188753127373,0.1325468431565319
288,3.134955192743767e-07,3.0481837828562616e-10,1.7459048607688397e-05,441,440,2,2,1,6.927690415582414e-13,6.911981367021002e-13,2,3,1.7687948272939398e-11,5.2041584651091436e-11,-1.1415300029107096,0.1339630009029291
290,4.777621143181818e-06,2.367835825878268e-10,1.5387773802205007e-05,440,439,2,1,1,5.393703475804711e-13,5.381445058814245e-13,2,6,1.5779017972986626e-12,3.333696637497099e-12,-1.3090296445833978,-0.0202883469741582
291,3.7685600110375258e-06,4.997092838763163e-10,2.2354178219659885e-05,453,452,2,2,2,1.1055515130006999e-12,1.1031110019344734e-12,2,4,1.5386754018634403e-11,3.863921474949943e-11,-1.292495158580652,0.063716704249958
293,2.3156192428571427e-06,2.9298218148800724e-10,1.7116722276417505e-05,441,440,2,2,2,6.658685942909255e-13,6.643586881814223e-13,1,4,1.2326506633859585e-12,2.543550423704264e-12,-1.3067146590575869,-0.0494912447544697
294,-4.3166904930555654e-07,1.4897943594562476e-10,1.220571325018021e-05,432,431,2,3,2,3.456599441893846e-13,3.4485980542968694e-13,1,2,1.6399160091115227e-11,3.296824867133044e-11,1.7181707814991407,0.7141639236088707
295,-1.220345450669643e-06,9.708754862031471e-11,9.853301407158657e-06,448,447,2,2,2,2.1719809534746025e-13,2.1671327817034538e-13,4,29,8.944096199138253e-13,1.8905677582589186e-12,-1.5077249486254316,-0.1049344990807841
296,-1.0136428231578944e-07,2.701287119374696e-10,1.6435592838028984e-05,475,474,2,2,2,5.698917973364337e-13,5.68692025131515e-13,2,3,5.235635181171154e-12,1.3060418767009665e-11,-1.1393629841202728,-0.2079527061976161
297,-1.8269767923387108e-06,5.127817863928171e-10,2.2644685610377047e-05,496,495,3,3,2,1.03592280079357e-12,1.033834246759712e-12,2,5,4.942300184589721e-12,1.0088228480409039e-11,-1.3963101803074935,0.1739723529346178
298,-6.823789934354536e-08,3.2099154180390993e-10,1.791623682037916e-05,457,456,2,2,2,7.039288197454165e-13,7.023884941004595e-13,1,2,5.217062351749592e-12,1.0479527033893671e-11,-0.6099825903443534,0.1755993525079876
299,8.410616911622717e-06,2.8290332434909044e-10,1.6819730210353863e-05,493,492,3,3,2,5.750067568070945e-13,5.738404145011976e-13,2,6,2.5322775415357718e-12,5.2495683355623145e-12,-1.4575346708180283,0.0084621013470693
300,2.14393720102e-06,1.0229725250070725e-10,1.0114210423987988e-05,500,499,2,2,2,2.050045140294735e-13,2.0459450500141453e-13,1,12,1.3076830573515456e-12,2.797619988192444e-12,-1.249226146118187,0.2590925391163488
305,1.4230006739130436e-05,4.852550626571153e-10,2.2028505683707087e-05,552,551,2,2,1,8.806806944775236e-13,8.790852584368033e-13,1,3,1.525744747651592e-12,3.092422985916868e-12,-1.4081000535126482,0.0489697023936481
307,-5.958848278734623e-06,3.1618721864172404e-10,1.7781653990608523e-05,569,568,2,2,2,5.566676384537395e-13,5.556893121998666e-13,2,5,2.162528556504376e-12,4.451473237244772e-12,-1.2621448603204417,-0.2464441127892514
311,3.606775556634309e-07,1.4147830881866948e-10,1.1894465470069242e-05,618,617,2,1,1,2.2930033844192793e-13,2.289293022955817e-13,51,122,3.341911029483344e-13,8.400681336524097e-13,-1.1747755380848224,-0.1911037968919151
312,-8.781999760368665e-06,2.3558021668845084e-10,1.5348622631638673e-05,651,650,2,2,2,3.6243110259761676e-13,3.618743727933193e-13,1,4,1.595918687873837e-12,3.3822438058520327e-12,-0.9700192847627336,-0.3413720934413149
313,-2.107213661595548e-06,6.881869708732e-10,2.623331795395314e-05,539,538,3,2,2,1.2791579384260222e-12,1.2767847326033396e-12,2,2,2.021696731012821e-11,5.820161765916799e-11,-1.3862665580217983,0.161089327750751
316,-1.4751074032738093e-06,4.1548226731569875e-10,2.0383382136331023e-05,672,671,2,2,2,6.19198610008493e-13,6.182771835055042e-13,1,9,9.651751135273997e-13,2.0124205700687684e-12,-1.2950515651245007,-0.0033923456841708
319,1.2491965480546447e-05,1.3408859313534451e-10,1.1579662911127617e-05,915,914,5,5,4,1.4670524413057388e-13,1.4654491053043117e-13,4,11,3.101651054064827e-12,6.375139722462109e-12,-1.2541567588336688,-0.2610796486677867
321,8.031183383233542e-07,3.6429607104513277e-10,1.9086541620868164e-05,668,667,3,2,2,5.461710210571706e-13,5.453533997681628e-13,3,6,1.0611866374084224e-11,2.7525056822867767e-11,-0.8732232889205882,-0.0140435672431028
322,1.6642899749326924e-05,3.3746451880361675e-10,1.837020736964112e-05,1040,1039,3,3,3,3.24797419445252e-13,3.2448511423424693e-13,3,5,1.6893681166777756e-11,4.8192431358366997e-11,-0.4720169656041499,-0.3099380484185569
324,3.470419385213033e-06,3.7788277489937353e-10,1.943920715717011e-05,798,797,4,4,4,4.741314616052365e-13,4.735373119039769e-13,4,8,5.844651187931543e-12,1.1699643418730053e-11,-0.93417799811181,-0.3988210461850471
325,1.8137951165236684e-05,1.1296771875096542e-10,1.0628627322047069e-05,676,675,2,2,2,1.6735958333476357e-13,1.6711200998663524e-13,2,2,1.1859176407834736e-11,2.378213405840108e-11,1.799849000819484,-1.091506037374902
330,4.0001104458699474e-06,1.8307383623761408e-10,1.3530478049116154e-05,569,568,2,1,1,3.223130919676305e-13,3.2174663662146593e-13,1,1,5.787919664757835e-12,1.7139849137961395e-11,-1.0353505238817915,-0.2682481117863914
443,-1.071573578275862e-05,2.7219739244729657e-10,1.649840575471753e-05,290,289,2,2,2,9.418594894370125e-13,9.386116980941261e-13,1,8,1.571154089659222e-12,2.8603939668623684e-12,-1.4115365863417595,-0.0219577861282977
446,1.0027554398039216e-05,4.947987851411544e-10,2.2244073033982656e-05,306,305,1,1,1,1.6222910988234573e-12,1.6169894939253414e-12,1,1,4.711994827072925e-12,9.190753074738548e-12,-1.2030433114404222,-0.0608868908741885
447,-7.449758527651515e-06,4.188164719317612e-10,2.046500603302528e-05,264,263,2,2,2,1.5924580681816013e-12,1.58642603004455e-12,2,4,4.243098659800062e-11,1.1750729040888304e-10,-0.8731875899637767,-0.314248248922415
451,-1.8914122591078064e-06,1.740622077458452e-10,1.3193263726077987e-05,269,268,2,2,2,6.4948584979793e-13,6.470714042596476e-13,1,4,2.7917012958181168e-12,5.903581693057098e-12,-1.381205364670891,0.1249975769995976
453,-7.011938404942958e-07,2.347243010782354e-10,1.5320714770474497e-05,526,525,1,1,1,4.470939068156864e-13,4.46243918399687e-13,160,178,2.531519965864975e-13,5.989030983118799e-13,-0.7189908976565844,-0.8049939104405839
457,-5.764011471861473e-06,6.254211151514806e-10,2.5008420884803597e-05,231,230,1,1,1,2.7192222397890457e-12,2.7074507149414746e-12,1,1,8.440556981368867e-12,1.6065785942281647e-11,-0.8148714287875949,0.3737089681744129
463,-6.9798363743842375e-06,1.6379542426209222e-10,1.2798258641787648e-05,203,202,2,2,1,8.108684369410505e-13,8.068740111433115e-13,17,31,2.309042628891923e-12,5.41242986242641e-12,-1.2452389731108764,-0.1470121268886309
464,-4.447216589041096e-06,4.0894220429578106e-10,2.0222319458849945e-05,292,291,2,2,2,1.4052996711195228e-12,1.400487001012949e-12,2,8,7.849178437575183e-12,1.6104291712436322e-11,-1.0053744562468685,0.1460355115778962
465,1.511107478991596e-06,3.090228345103183e-10,1.7579045324201148e-05,238,237,2,2,2,1.3038938164992333e-12,1.2984152710517574e-12,2,3,5.1021887680935e-11,1.4571895849633248e-10,-0.0795256839943561,-0.8162222758285417
467,5.746536894736844e-06,7.876351447803831e-10,2.8064838228295264e-05,228,227,1,1,1,3.469758347050146e-12,3.4545401086858912e-12,6,6,3.4888166318360093e-12,6.77732976546407e-12,-1.142303519330636,-0.2242401355029765
468,-2.428640838235295e-06,4.3567153787028526e-10,2.087274629439752e-05,204,203,1,1,1,2.1461652111836717e-12,2.135644793481791e-12,11,12,3.270923624772563e-12,7.848802751414099e-12,-0.6213584834457739,-0.6428609021149603
473,3.161302659292033e-07,3.383208085041524e-10,1.8393499082669192e-05,226,225,2,2,1,1.5036480377962329e-12,1.4969947278944796e-12,8,15,3.986197024701912e-12,8.08635619393976e-12,-1.2414977471014432,-0.011359904498848
474,-3.643050717045455e-06,4.842687947996303e-11,6.958942411025043e-06,176,175,2,1,1,2.767250255997887e-13,2.7515272431797176e-13,10,9,1.8743677328866224e-12,4.296545750825645e-12,-0.8419861801360411,-0.6132750172084654
475,4.515496298984771e-06,1.16578473930887e-10,1.0797151195148053e-05,197,196,1,1,1,5.947881323004439e-13,5.917689032024721e-13,13,10,9.366889437909698e-13,1.8417656214439857e-12,-1.2208385814724616,-0.0612992764276907
484,-9.4691376e-06,2.0278668235541399e-10,1.4240318899358046e-05,180,179,2,1,1,1.1328864936056645e-12,1.1265926797522997e-12,14,20,1.2307374206461425e-12,2.7670566562543597e-12,-1.4730875577197486,-0.0343980452672361
495,4.4621757225130886e-06,5.872483136132846e-10,2.4233206837174575e-05,191,190,3,2,1,3.0907805979646565e-12,3.0745985005931137e-12,2,7,3.9332831436291904e-11,6.937326595896353e-11,-1.1184283374508373,-0.229397551612463
501,2.4630414270833336e-06,3.1787691977801675e-10,1.782910316807934e-05,192,191,2,2,1,1.6642770669006117e-12,1.6556089571771708e-12,5,15,5.040070940022973e-12,1.0762796642908454e-11,-0.996242677549274,-0.2521633134010896
